city,CityAveragePrice,CityMedianPrice,CityAverageRating,CityAverageReviews,SuperhostRate,GuestFavoriteRate,ListingCount
Amsterdam,65449.36363636364,47790.5,4.97,152574.33333333334,1.0,0.07142857142857142,28
Athens,255257.0,47176.0,4.964666666666667,88048.53333333334,1.0,0.5,18
Barcelona,78279.5,71583.5,4.8742857142857146,10413811.142857144,1.0,0.25,28
Berlin,46267.18518518518,35225.0,4.9399999999999995,186834.375,1.0,0.25,28
Budapest,37627.82352941176,28451.0,4.938000000000001,135223.2,1.0,0.3888888888888889,18
Lisbon,106817.29166666667,49612.5,4.9775,76600.75,1.0,0.10714285714285714,28
London,80315.5,71132.0,4.975,2895.0,0.9642857142857143,0.10714285714285714,28
Rome,51547.217391304344,49045.0,4.968333333333333,49585.833333333336,1.0,0.07142857142857142,28
Vienna,82686.07142857143,71121.0,4.986666666666667,22581.166666666668,0.9444444444444444,0.3333333333333333,18
