url,title,price,rating,reviews,superhost,guest_favorite,city
https://www.airbnb.com/rooms/1720098021837204389?search_mode=regular_search&adults=1&check_in=2026-08-24&check_out=2026-08-29&children=0&infants=0&pets=0&source_impression_id=p3_1783394888_P3AuQ0TZCIrZEiKh&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Brand New Design House,196944.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1644186562669077207?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&photo_id=2539845729&source_impression_id=p3_1783394890_P36gSBWNChOrAHPM&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Volkshotel Amsterdam,46913.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/45539425?search_mode=regular_search&adults=1&check_in=2026-07-08&check_out=2026-07-13&children=0&infants=0&pets=0&source_impression_id=p3_1783394888_P3It9ytjC8rvE6VU&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Sleeping in a Church - Shared Pod for 1 at Bunk,21800.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1708930716210403845?search_mode=regular_search&adults=1&check_in=2026-07-26&check_out=2026-07-31&children=0&infants=0&pets=0&source_impression_id=p3_1783394888_P34dS3klbCjgrOgz&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,NEW: Spacious 3BR family friendly +FREE Parking,114533.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1718896659013342707?search_mode=regular_search&adults=1&check_in=2026-07-28&check_out=2026-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1783394888_P3DWKhpyowDZ1kPk&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Charming 1BDR in local area,58921.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1491976464258683042?search_mode=regular_search&adults=1&check_in=2026-07-25&check_out=2026-07-30&children=0&infants=0&pets=0&photo_id=2548344700&source_impression_id=p3_1783394888_P31qq57Btkexa_lk&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,The Social Hub Amsterdam West 3*,24177.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/746060021045144380?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&source_impression_id=p3_1783394888_P3Zge2D5iu9kB9rJ&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Bed in unisex dorm.,,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1405580952002890361?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&photo_id=2512806509&source_impression_id=p3_1783394890_P3rULthviA0ajmXK&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Postillion Hotel Amsterdam,,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1218636894250131241?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&photo_id=2511546751&source_impression_id=p3_1783394890_P3qbbWVMSX4i9PFo&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Maxhotel Amsterdam Schiphol Airport,24158.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/834233?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-10-05&check_out=2026-10-10&children=0&infants=0&pets=0&photo_id=8099683&source_impression_id=p3_1783394888_P3oZDLcwZB0fnqfA&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Mondriaan Amsterdam Studio,48668.0,4.91,456456.0,True,False,Amsterdam
